,RP2-0.xy,RP2-0a.xy,RP2-0b.xy,RP2-30.xy,RP2-30b.xy,RP2-50.xy,RP2-50b.xy,RP2-50c.xy,RP2-70.xy,RP2-70b.xy,RP2-70c.xy,RP2-90a.xy,RP2-90b.xy,RP2-90c.xy,RP2-90d.xy
0,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9,sigma9
1,379.360159657898,381.45277829386004,381.9850994491071,200.91416323577928,200.95404366211878,148.53637206737943,153.39462423662826,146.3728594552423,112.85730465278066,113.19252022651197,114.2726069174073,115.58808054373492,115.61013237312088,116.70636510517305,116.7496203363058
2,518.3746167608114,522.4002935656407,521.6389719875876,274.4094173974785,272.9372049457504,202.4181305013704,211.26209294596487,199.75542633262972,153.84041856199863,153.84566178395917,155.620450004865,159.81031935856146,160.29104643200364,161.4794294447636,160.11934164599
3,765.7572800807053,770.1166587449034,769.5150770533228,409.79835491101454,409.48357380486203,302.8716979984009,313.86988144447724,298.3754849676779,230.6802753446303,229.85968873115092,233.72955207808127,238.77804799845714,238.61926194438198,241.22821559490626,240.60034800782248
4,707.7601895157577,712.5146987135506,710.3709095256145,379.4018164074945,379.2583898347727,279.1443900063172,292.5885265235411,276.61576690521844,213.30880649794662,213.7817160267014,214.72383540893833,220.81095732612545,221.02342146350898,219.14779744617314,222.18651052700685
5,478.4230194227671,482.16632980155754,482.29896365988606,254.5271334413069,254.02023993489402,187.3472695325475,195.01092987284613,184.84909976485892,143.7066803979948,142.53435937516548,145.7846261186509,148.89524364820707,148.89653702278,149.71114052071152,151.20984592741382
6,253.28316441866625,255.56979895241645,253.67737836768833,137.0747807003179,137.579639097817,101.89359812422012,102.59729787650545,100.24657471360513,78.03460971408056,76.98983617968015,79.28821265336762,80.35972964327037,80.37425632017806,80.75482567123109,80.69068693796909
7,105.8356629197119,105.95705663234762,106.96747492057136,56.976235607531976,57.414035508414365,41.23960957440354,42.50267464468046,40.499127247089774,31.81200513707573,31.390934025925525,32.21207069133047,33.46333775874607,33.52095100780816,34.17388957369091,34.15671754282707
8,34.310290854117135,34.50179451241053,34.73764208385274,18.26443141880011,18.240013088684474,13.176691342723258,13.705536433540079,12.696751141408978,10.234241227800416,9.987504932417522,10.50774412603979,11.079676780653116,11.278058290285298,10.989946138354323,11.281581920206271
9,7.594069346391096,7.594433181441677,7.621861664707017,5.392130815829542,5.641793881298668,4.343413586458364,4.34224045765866,4.1364625421573855,4.585807052846051,4.488263145957698,4.634502715494102,4.200386685475107,4.2463386250039505,4.562986790309057,4.535858795544905
